event_type,sub_event_type,month,day,event_date,year,actor1,assoc_actor_1,actor2,assoc_actor_2,city,state,fatalities,source,source_scale,major_media,notes,tags
RIOTS,VIOLENT DEMONSTRATION,7,7,2025-07-07,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-),,LOS ANGELES - SOUTH,CALIFORNIA,0,ABC7 (LOS ANGELES); KTLA5,SUBNATIONAL,NO,"ON 7 JULY 2025, PEOPLE GATHERED AT THE INTERSECTION OF HYDE PARK AND CRENSHAW BOULEVARDS IN HYDE PARK IN LOS ANGELES - SOUTH (CALIFORNIA) TO HOLD A VIGIL FOR AN INDIVIDUAL WHO WAS SHOT AND KILLED LAST MONTH AND WHOSE PERPETRATORS HAVE NOT BEEN FOUND. POLICE WERE RESPONDING TO REPORTS OF THE CROWD BLOCKING TRAFFIC WHEN PEOPLE BEGAN THROWING ROCKS AND BOTTLES AT OFFICERS AND PUNCTURED THE TIRES OF AT LEAST EIGHT POLICE PATROL VEHICLES.",CROWD SIZE=NO REPORT
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,6,25,2025-06-25,2025,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2025-),NEW YORK - STATEN ISLAND,NEW YORK,0,STATEN ISLAND ADVANCE,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 25 JUNE 2025, A 20-YEAR-OLD MAN BROKE THE WINDSHIELDS OF MULTIPLE MARKED NYPD VEHICLES OF THE 121ST PRECINCT STATION HOUSE IN GRANITEVILLE IN NEW YORK - STATEN ISLAND (NEW YORK).",
RIOTS,VIOLENT DEMONSTRATION,6,24,2025-06-24,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-),POLICE FORCES OF THE UNITED STATES (2025-) IMMIGRATION AND CUSTOMS ENFORCEMENT,PORTLAND - SOUTHWEST,OREGON,0,KOIN6; MASTODON,NEW MEDIA-SUBNATIONAL,NO,"ON 24 JUNE 2025, DEMONSTRATORS RALLIED OUTSIDE OF AN ICE FACILITY IN PORTLAND - SOUTHWEST (OREGON) IN SOLIDARITY WITH IMMIGRANTS AND TO DEMONSTRATE AGAINST ICE IN PORTLAND. TWO DEMONSTRATORS SET AN AMERICAN FLAG ON FIRE. POLICE AND FEDERAL AGENTS USED RUBBER BULLETS AND FLASHBANGS TO DISPERSE THE CROWD. THREE DEMONSTRATORS ARE ACCUSED OF ASSAULTING FEDERAL OFFICERS INCLUDING THREATENING AN OFFICER WITH A KNIFE, POINTING A LASER IN THE EYE OF A FEDERAL AGENT, THROWING A GAS CANISTER AT A FEDERAL AGENT, AND STRIKING A FEDERAL AGENT. SEVERAL INJURIES WERE REPORTED BY DEMONSTRATORS WITH AT LEAST TWO INDIVIDUALS BEING TAKEN TO THE HOSPITAL. A PRO-IMMIGRATION DEMONSTRATION ALSO OCCURRED OUTSIDE OF CITY HALL (CODED SEPARATELY).",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,20,2025-06-20,2025,RIOTERS (UNITED STATES),LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2025-) DEPARTMENT OF HOMELAND SECURITY,,BELL,CALIFORNIA,0,ABC7 (LOS ANGELES); IT'S GOING DOWN; L.A. TACO; LOS ANGELES TIMES,OTHER-SUBNATIONAL,NO,"ON 20 JUNE 2025, ABOUT 100 DEMONSTRATORS RALLIED AT JACK'S CAR WASH AND DETAILING ON ATLANTIC AVENUE IN BELL (CALIFORNIA) TO DENOUNCE A SUSPECTED DEPARTMENT OF HOMELAND SECURITY IMMIGRATION OPERATION THAT WAS OCCURRING IN THE AREA. DURING THIS EVENT, DEMONSTRATORS OBSTRUCTED LAW ENFORCEMENT BY THROWING ROCKS AND BOTTLES AT THE AGENTS' UNMARKED VEHICLES AND GRAFFITIING THEM, SLASHING THEIR TIRES, AND BREAKING WINDOWS. THE POLICE ARRESTED ONE PERSON FOR VEHICULAR ASSAULT AFTER RAMMING THE AGENTS' CONVOY WITH THEIR OWN CAR. THE DEMONSTRATION LIKELY INCLUDED MEMBERS OF THE MEXICAN COMMUNITY (BASED ON THE PRESENCE OF MEXICAN FLAGS).",CROWD SIZE=ABOUT 100
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,6,15,2025-06-15,2025,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES); LABOR GROUP (UNITED STATES),BROOKLINE,MASSACHUSETTS,0,ANTI-DEFAMATION LEAGUE; BOSTON 25; BOSTON.COM; NBC10 BOSTON,SUBNATIONAL-NATIONAL,NO,"PROPERTY DESTRUCTION: ON 15 JUNE 2025, AT LEAST TWO PEOPLE THREW A BRICK THAT SAID 'FREE PALESTINE' AND BROKE A WINDOW OF THE BUTCHERIE (A KOSHER GROCERY STORE) IN BROOKLINE (MASSACHUSETTS). THE INCIDENT IS BEING INVESTIGATED AS A HATE CRIME.",
RIOTS,VIOLENT DEMONSTRATION,6,14,2025-06-14,2025,RIOTERS (UNITED STATES),INDIVISIBLE MOVEMENT,POLICE FORCES OF THE UNITED STATES (2025-),,PORTLAND - SOUTH,OREGON,0,OREGONIAN,SUBNATIONAL,NO,"ON 14 JUNE 2025, A COUPLE HUNDRED PEOPLE MARCHED FROM DOWNTOWN TO AN ICE FACILITY IN PORTLAND - SOUTH (OREGON) TO DENOUNCE ICE DEPORTATIONS, CALL FOR THE RELEASE OF DETAINEES, AND SHOWED SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES DURING A NO KINGS DEMONSTRATION. THIS DEMONSTRATION TOOK PLACE AFTER A PEACEFUL MARCH IN DOWNTOWN PORTLAND ENDED (CODED SEPARATELY). DEMONSTRATORS THREW WATER BOTTLES AND FIREWORKS AT THE POLICE AND BROKE GLASS DOORS AT THE ICE FACILITY. FEDERAL OFFICERS USED TEAR GAS, FLASH GRENADES, AND OTHER PROJECTILES ON DEMONSTRATORS.",CROWD SIZE=COUPLE HUNDRED
RIOTS,VIOLENT DEMONSTRATION,6,14,2025-06-14,2025,RIOTERS (UNITED STATES),INDIVISIBLE MOVEMENT,POLICE FORCES OF THE UNITED STATES (2025-) DEPARTMENT OF HOMELAND SECURITY,POLICE FORCES OF THE UNITED STATES (2025-),TUKWILA,WASHINGTON,0,KOMO4; SEATTLE TIMES,SUBNATIONAL,NO,"ON 14 JUNE 2025, ABOUT 150 PEOPLE GATHERED IN TUKWILA (COLORADO) TO DENOUNCE DONALD TRUMP AND TO DEMONSTRATE AGAINST A MILITARY PARADE HE ORGANIZED FOR THE 250TH ANNIVERSARY OF THE US ARMY IN WASHINGTON, D.C. THIS DEMONSTRATION WAS PART OF THE 'NO KINGS' MOVEMENT AND WAS ORGANIZED BY THE INDIVISIBLE MOVEMENT AND 50501. DEMONSTRATORS ALSO DENOUNCED ICE DEPORTATIONS AND SHOWED SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DURING THIS EVENT, DEMONSTRATORS OBSTRUCTED LAW ENFORCEMENT AS THEY BLOCKADED THE EXITS OF A DEPARTMENT OF HOMELAND SECURITY (DHS) FACILITY WITH STREET SIGNS AND OTHER ITEMS. DEMONSTRATORS ALSO THREW FROZEN WATER BOTTLES AND ROCKS AT POLICE OFFICERS. POLICE OFFICERS AND DHS OFFICERS USED PEPPER SPRAY AND PEPPER BALLS ON DEMONSTRATORS. THEY DID NOT ARREST ANYONE.",CROWD SIZE=ABOUT 150
RIOTS,VIOLENT DEMONSTRATION,6,14,2025-06-14,2025,RIOTERS (UNITED STATES),FORMER MILITARY FORCES OF THE UNITED STATES (2025-); INDIVISIBLE MOVEMENT; PROTESTERS (RUSSIA); REFUGEES/IDPS (RUSSIA),POLICE FORCES OF THE UNITED STATES (2025-),,LOS ANGELES - CENTRAL,CALIFORNIA,0,CBS NEWS; NBC4 SOUTHERN CALIFORNIA; NO KINGS; SAN BERNARDINO SUN; SAN FRANCISCO CHRONICLE,SUBNATIONAL-NATIONAL,YES,"ON 14 JUNE 2025, AN ESTIMATED 200,000 DEMONSTRATORS RALLIED AT GRAND PARK ALONG NORTH SPRING STREET IN DOWNTOWN LOS ANGELES - CENTRAL (CALIFORNIA) AS PART OF THE NATIONWIDE 'NO KINGS' DEMONSTRATION DENOUNCING ICE DEPORTATIONS, TO DENOUNCE DONALD TRUMP AND TO DEMONSTRATE AGAINST A MILITARY PARADE HE ORGANIZED FOR THE 250TH ANNIVERSARY OF THE US ARMY IN WASHINGTON, D.C. THE DEMONSTRATION WAS ORGANIZED BY INDIVISIBLE AND THE 50501 MOVEMENT AND INCLUDED VETERANS AND RUSSIAN REFUGEES. MORE THAN 350 PEOPLE ALSO PEACEFULLY RALLIED AT UNIDAD PARK IN FILIPINOTOWN (CODED SEPARATELY). OTHERS RALLIED AT THE FEDERAL BUILDING ON NORTH LOS ANGELES STREET (CODED SEPARATELY). BEFORE THE 8 P.M. CURFEW, LAPD, LA SHERIFF DEPUTIES, AND HIGHWAY PATROL TROOPERS, INCLUDING MOUNTED OFFICERS AND OTHERS IN ARMORED TROOP CARRIERS, BEGAN FIRING TEAR GAS, 'FLASH BANGS,' AND 'LESS LETHAL MUNITIONS' AT DEMONSTRATORS NEAR DOWNTOWN'S SOUTH BROADWAY AND WEST 3RD STREET TO PUSH THE CROWDS OUT OF DOWNTOWN. DEMONSTRATORS SAY THE POLICE ATTACKED THEM WITHOUT REASON, WHILE POLICE SAY THEY ISSUED A DISPERSAL ORDER FOR THE AREA OF ALAMEDA STREET SOUTH OF ALISO AND NORTH OF TEMPLE STREETS BECAUSE SOME DEMONSTRATORS WERE THROWING OBJECTS AT OFFICERS. DEMONSTRATORS WERE TRAMPLED BY HORSES, HIT BY RUBBER BULLETS OR TEAR GAS, AND BEATEN WITH BATONS. LAPD STATED THE RALLY 'SHIFTED' WHEN A SMALL GROUP OF 'AGITATORS WITH THE PURPOSE OF CREATING CHAOS' BEGAN THROWING ROCKS, BOTTLES, AND HIGH-GRADE FIREWORKS AT OFFICERS FROM A PEDESTRIAN OVER CROSS BRIDGE. POLICE ARRESTED 38 DEMONSTRATORS, INCLUDING 35 FOR VIOLATING CURFEW, 1 FOR FAILING TO DISPERSE, 1 FOR RESISTING ARREST, AND ONE FOR RESISTING, OBSTRUCTING, OR DELAYING AN OFFICER.","CROWD SIZE=ESTIMATED 200,350"
RIOTS,VIOLENT DEMONSTRATION,6,13,2025-06-13,2025,RIOTERS (UNITED STATES),,,,PORTLAND - SOUTH,OREGON,0,KOIN6; TWITTER,NEW MEDIA-SUBNATIONAL,NO,"ON 13 JUNE 2025, PEOPLE GATHERED AT AN ICE FACILITY AT 4310 S. MACADAM AVE IN PORTLAND - SOUTH (OREGON) TO DENOUNCE ICE DEPORTATIONS, CALL FOR THE RELEASE OF DETAINEES, AND SHOWED SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DEMONSTRATORS, DRESSED IN BLACK BLOC, ALSO SET THE ICE BUILDING ON FIRE.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,12,2025-06-12,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-),,PORTLAND - SOUTH,OREGON,0,KOIN6; TWITTER,NEW MEDIA-SUBNATIONAL,NO,"ON 12 JUNE 2025, PEOPLE GATHERED AT AN ICE FACILITY AT 4310 S. MACADAM AVE IN PORTLAND - SOUTH (OREGON) TO DENOUNCE ICE DEPORTATIONS, CALL FOR THE RELEASE OF DETAINEES, AND SHOWED SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DURING THE NIGHT, DEMONSTRATORS VANDALIZED THE BUILDING AND STARTED FIRES OUTSIDE THE BUILDING. FEDERAL AGENTS USED PEPPER BALLS AGAINST DEMONSTRATORS AND ARRESTED TEN PEOPLE.",CROWD SIZE=NO REPORT
